epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
57,4547.51,1.48409,1.01356,0.89734,0.43148,0.33429,0.33558,0.19131,1.43081,1.00744,0.89303,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,4634.06,1.48379,1.01088,0.89724,0.43911,0.33638,0.3365,0.19242,1.4349,1.00923,0.89352,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,4720.02,1.48641,1.01281,0.89686,0.4301,0.33883,0.33579,0.19167,1.42748,1.00385,0.89231,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,4807.38,1.49118,1.01886,0.89582,0.43672,0.33562,0.3358,0.19166,1.42665,1.00058,0.89133,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,4890.97,1.47765,1.00794,0.89574,0.43437,0.33543,0.3347,0.19164,1.42331,1.00129,0.89202,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,4973.15,1.48607,1.00972,0.89535,0.44108,0.32854,0.33485,0.19274,1.42387,0.99745,0.89146,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,5048.4,1.48126,1.00348,0.89501,0.43733,0.33677,0.33671,0.19319,1.42593,0.99896,0.89235,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,5120.97,1.47582,1.00483,0.89445,0.42778,0.3418,0.34018,0.19556,1.42848,0.99678,0.89309,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,5192.56,1.46144,0.99087,0.89153,0.43137,0.34575,0.33926,0.19562,1.42281,0.99517,0.89247,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,5275.15,1.46542,0.99573,0.89513,0.43116,0.34732,0.33848,0.19412,1.42425,0.99532,0.89274,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
