epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
66,11325.6,2.1475,1.54928,0.0032,0.41642,0.32059,0.31496,0.16689,2.11998,1.4729,0.00378,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,11472,2.15821,1.55046,0.0032,0.41143,0.32018,0.31224,0.16641,2.10918,1.47943,0.00375,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,11616.6,2.16057,1.55593,0.00321,0.42513,0.31856,0.31685,0.16688,2.1256,1.47534,0.00378,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,11761.7,2.15001,1.54819,0.00319,0.41134,0.32466,0.31636,0.16909,2.10783,1.46917,0.00375,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,11926,2.14548,1.54237,0.00319,0.41415,0.32509,0.31668,0.16929,2.10296,1.47108,0.00373,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,12091.6,2.14962,1.53757,0.00316,0.41797,0.32292,0.3169,0.16668,2.11956,1.46689,0.00376,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,12256.5,2.13546,1.53569,0.00317,0.42432,0.32176,0.32062,0.16935,2.10869,1.46289,0.00375,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,12421.6,2.13666,1.53211,0.00319,0.41391,0.32786,0.31759,0.16886,2.10877,1.46487,0.00375,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,12586.5,2.14823,1.53797,0.00315,0.41721,0.32342,0.3191,0.17107,2.10022,1.46319,0.00373,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,12751.6,2.13668,1.53344,0.00318,0.42391,0.31945,0.31931,0.17069,2.10301,1.46132,0.00374,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,12915.9,2.13216,1.5242,0.00315,0.41705,0.32508,0.31959,0.17113,2.10507,1.46148,0.00376,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
