epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
70,6448.73,1.50147,1.03541,0.89779,0.43412,0.33293,0.33132,0.18914,1.44061,1.01887,0.89367,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,6542.7,1.51069,1.03406,0.8968,0.44891,0.32938,0.3332,0.19063,1.44047,1.01678,0.89336,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,6636.08,1.49001,1.02621,0.89567,0.43709,0.33161,0.33214,0.18962,1.4389,1.01537,0.89342,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,6729.91,1.50347,1.03269,0.89804,0.42798,0.33303,0.32966,0.18847,1.43836,1.01683,0.89327,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,6824.2,1.48984,1.0251,0.89561,0.44438,0.3308,0.33128,0.18901,1.43655,1.01356,0.89258,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,6918.08,1.49866,1.02712,0.89654,0.43892,0.33195,0.3309,0.18898,1.43866,1.01529,0.89343,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,7012.54,1.47863,1.01597,0.89657,0.43141,0.33313,0.33188,0.19053,1.43442,1.01341,0.8923,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,7107.13,1.49361,1.0235,0.89648,0.45265,0.32566,0.33175,0.18987,1.43542,1.01224,0.89259,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,7200.8,1.49481,1.01662,0.8935,0.44656,0.33093,0.33169,0.19043,1.437,1.01141,0.89309,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,7293.39,1.47958,1.01296,0.89404,0.44499,0.33374,0.33423,0.1916,1.43537,1.00975,0.89304,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,7386.94,1.48259,1.01302,0.89452,0.44079,0.33032,0.33289,0.19055,1.43671,1.01092,0.89268,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,7479.77,1.48037,1.01174,0.89345,0.43398,0.33513,0.33112,0.18992,1.43355,1.01138,0.89234,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,7573.27,1.48313,1.00992,0.89231,0.42852,0.33542,0.33212,0.18984,1.43364,1.01029,0.89197,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,7660.75,1.47936,1.00658,0.89286,0.43839,0.33123,0.33137,0.19003,1.43391,1.01033,0.89249,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,7740.14,1.48117,1.01119,0.89253,0.43763,0.33096,0.33109,0.18952,1.43334,1.01002,0.89196,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,7819.37,1.48248,1.00833,0.89319,0.43454,0.33276,0.33095,0.18913,1.43309,1.00852,0.89168,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,7899,1.47868,1.00539,0.89248,0.4419,0.33101,0.33239,0.19016,1.43393,1.00919,0.89197,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,7980.05,1.4818,1.00093,0.8912,0.43551,0.33217,0.33474,0.1914,1.43142,1.00688,0.89151,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,8059.23,1.46915,0.99714,0.89118,0.43677,0.33148,0.3344,0.19145,1.43127,1.00699,0.89192,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,8138.83,1.4794,1.00059,0.89062,0.43431,0.33537,0.33587,0.19202,1.43055,1.00517,0.89143,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,8218.29,1.46706,0.99799,0.89236,0.44482,0.33172,0.33579,0.19208,1.43069,1.0054,0.89151,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,8344.75,1.42423,0.96777,0.89421,0.43293,0.33577,0.33483,0.19145,1.43483,1.00886,0.89245,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,8430.96,1.41487,0.9533,0.89195,0.43277,0.33574,0.33409,0.19127,1.4378,1.00855,0.8926,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,8517.51,1.407,0.94692,0.88924,0.43162,0.33864,0.33416,0.19088,1.43753,1.00728,0.89268,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,8603.78,1.40691,0.94447,0.88987,0.42957,0.34121,0.33513,0.19062,1.43851,1.00693,0.89297,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,8690.49,1.39982,0.9386,0.88893,0.43399,0.33899,0.33454,0.19071,1.43737,1.00626,0.8927,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,8777.29,1.40043,0.93887,0.88738,0.43384,0.3383,0.33411,0.19023,1.43852,1.00743,0.89263,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,8864.14,1.39987,0.93592,0.88856,0.4274,0.34025,0.33333,0.19012,1.43864,1.00804,0.89258,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,8951.04,1.39417,0.92955,0.88695,0.43367,0.33806,0.33423,0.19107,1.43785,1.00755,0.89227,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,9038.4,1.39759,0.93086,0.88739,0.44128,0.33627,0.33489,0.19157,1.43757,1.0065,0.89241,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,9126.05,1.39221,0.92716,0.88534,0.43844,0.33846,0.33506,0.1915,1.43674,1.00639,0.89221,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
